Complexity,Loss,Equation
1,0.023750953,"1.5364168"
3,0.002150035,"Om ^ -0.3550237"
4,9.897663e-5,"0.8301044 / sqrt(Om)"
5,9.896142e-5,"(0.6895857 / Om) ^ 0.49958044"
7,9.8956945e-5,"((0.70910037 / Om) ^ 0.49477535) - 0.014840851"
13,9.895593e-5,"((0.7091146 / Om) ^ 0.4947859) - (0.01483079 / ((Om / Om) + -0.004441135))"
