Complexity,Loss,Equation
1,8.4672985,"a"
3,3.9873652,"a * 3.1094682"
4,3.6490848,"exp(a) - 3.6946812"
5,9.927542e-5,"(a * 3.0000486) + -1.9998379"
7,9.927536e-5,"((a * 1.4371822) - 0.95802593) * 2.0874548"
9,9.92607e-5,"(((a * 8.575567e-5) + 3.0000665) * a) - 1.9999214"
10,9.923228e-5,"(((-4.222129e-5 / exp(a)) + 3.0002084) * a) - 1.9999068"
12,9.918019e-5,"(a * 3.0000393) - ((-5.2107216e-6 / (exp(a) - 4.145467)) + 1.9998478)"
13,9.890667e-5,"(a * 3.0000665) - (((a / (a - 0.120564714)) * -9.957073e-5) + 1.9999214)"
