Complexity,Loss,Equation
1,0.29031622,"67.35771"
3,0.28249556,"67.67476 - omegam"
4,0.006325985,"exp(4.5252357 - omegam)"
5,0.004842523,"(7.1690784 / omegam) - -44.610554"
6,0.0048032445,"(25.694115 / sqrt(omegam)) + 21.590996"
10,0.0047725677,"((25.47824 / sqrt(omegam)) - (logA * -0.5074932)) + 20.427065"
11,0.00476464,"((25.607872 / sqrt(omegam)) - (log(logA) * -1.2816656)) + 20.319605"
12,0.0047617257,"(20.199274 - ((logA + -0.08685274) * -0.52203023)) + (25.607769 / sqrt(omegam))"
