Complexity,Loss,Equation
1,0.41371614,"1.1424462"
2,0.00010000815,"exp(c)"
3,9.9968674e-5,"2.7189026 ^ c"
4,9.996865e-5,"sqrt(7.3924394 ^ c)"
5,9.9892546e-5,"(2.7199667 ^ c) * 0.99966466"
8,9.976447e-5,"(0.00015246491 / (-1.0513655 - c)) + exp(c)"
10,9.973994e-5,"(0.00015246491 / (-1.0513655 - c)) + (exp(c) ^ 1.0001758)"
12,9.956747e-5,"exp(c / 1.0001758) + (0.00015246491 / ((1.0376949 / c) - c))"
