Complexity,Loss,Equation
1,1.8968875,"x"
3,0.9974067,"x * 1.9452755"
5,9.927542e-5,"(x * 2.0000513) + 1.000164"
9,9.926092e-5,"x + ((x + 1.0000768) * (1.0000802 ^ x))"
10,9.906803e-5,"(exp(-2.4654512e-6 / (-0.67154753 - x)) + x) + x"
12,9.900739e-5,"(x + x) + exp(-2.4654512e-6 / ((x - 0.5093046) / -3.3179913))"
14,9.898527e-5,"(x + x) + exp((-2.4654512e-6 / (x - 0.5093046)) / (x - 0.9961308))"
15,9.89836e-5,"(x + x) + exp((-2.4654512e-6 / (x - 0.5093046)) / (x - sqrt(1.1299791)))"
