Complexity,Loss,Equation
1,3.6218702e-5,"0.8111855"
3,1.2849422e-5,"logA * 0.2664462"
4,1.1539229e-5,"log(logA) + -0.30213383"
5,1.1447137e-5,"(logA * 0.34964472) + -0.25330132"
6,5.963379e-6,"logA / log(H0 + -24.700373)"
8,2.9866824e-6,"(omegam + (logA + tau)) / log(H0)"
10,2.9391235e-6,"(tau + (logA + omegam)) / (log(H0) + -0.0011262086)"
11,1.9913846e-6,"((exp(logA / 1.8805815) / sqrt(H0)) - -0.23487476) ^ 1.287004"
