Complexity,Loss,Equation
1,0.00020264291,"3.0444837"
3,6.3633684e-5,"tau + 2.99004"
4,3.9794933e-5,"sqrt(tau) + 2.812677"
5,1.8096676e-5,"(tau + sigma8) - -2.1789474"
6,1.6871823e-5,"sigma8 + (exp(tau) + 1.1774042)"
7,1.5125712e-5,"sigma8 + (2.1663 + (tau / sigma8))"
9,1.5026711e-5,"(sigma8 + (tau / (sigma8 - 0.034723785))) + 2.1632926"
11,1.5019427e-5,"(tau / ((tau * -0.29790333) + sigma8)) + (2.1649294 + sigma8)"
15,1.50177575e-5,"sigma8 + ((tau / (sigma8 + ((tau * -0.46158716) / (sigma8 + sigma8)))) + 2.1649616)"
