Complexity,Loss,Equation
1,1.0036073,"-0.055329993"
3,0.208885,"y * 0.4074071"
5,2.4816916e-5,"(y * 0.49997443) + -0.500058"
7,2.4816896e-5,"((y * 0.49997437) + -6.647192) - -6.147134"
9,2.4816854e-5,"(y * 3.2161212) + ((y * -2.7161467) + -0.5000579)"
11,2.4802212e-5,"((y + 1.08669865e-5) * (0.49997473 / y)) * (y + -1.0001693)"
12,2.4800971e-5,"((y + (-3.5125282e-5 / exp(y))) + (y + -2.0002375)) * 0.24997398"
14,2.4800951e-5,"((y + (y + ((-1.7573186e-5 / exp(y)) + -1.0001189))) - y) * 0.499948"
15,2.4716395e-5,"(((y + -1.0001656) + ((-3.4229673e-5 / (y + -0.708394)) + y)) - y) * 0.49997914"
