Complexity,Loss,Equation
1,5.4378033e-5,"0.31531593"
3,2.3847684e-5,"21.239609 / H0"
4,1.386588e-6,"log(92.32217 / H0)"
5,9.094481e-7,"(62.075474 / H0) - 0.60634494"
9,9.038231e-7,"(62.076256 / H0) - sqrt(ns / exp(ns))"
10,8.900236e-7,"((14.8102255 / sqrt(H0)) - 1.4902302) * (ns ^ -0.088378474)"
12,8.88042e-7,"(14.810216 * (((ns ^ -0.08837759) ^ 0.18327032) / sqrt(H0))) - 1.490309"
13,8.8784003e-7,"(sqrt(sqrt((ns ^ -0.08915893) ^ ns) / H0) * 14.810209) - 1.4906148"
15,8.8608937e-7,"(sqrt(sqrt(((ns ^ -0.08915893) ^ ns) ^ ns) / H0) * 14.810209) - 1.4906148"
