Complexity,Loss,Equation
1,1.7351551e-5,"0.9648882"
3,1.3459594e-5,"0.8927125 ^ omegam"
4,1.0519449e-5,"sqrt(1.2458181 - omegam)"
5,9.453151e-6,"(0.64831597 ^ omegam) + 0.092768006"
6,9.42661e-6,"sqrt(sqrt(sqrt(0.23678774 / omegam)))"
9,9.426389e-6,"(((omegam ^ -0.9722258) ^ 0.12813218) + 0.0020752037) * 0.83412874"
11,9.41789e-6,"((((H0 ^ omegam) * 0.98207647) + -0.21113606) ^ -0.096680164) * 1.0889003"
13,9.417796e-6,"1.0889003 * ((0.98207647 * (((-0.21113606 + H0) ^ omegam) + -0.21113606)) ^ -0.096680164)"
